id,value
IRR,"Ριάλ Ιράν"
QAR,"Ριάλ Κατάρ"
OMR,"Ριάλ Ομάν"
SAR,"Ριάλ Σαουδικής Αραβίας"
YER,"Ριάλ Υεμένης"
KHR,"Ρίελ Καμπότζης"
MYR,"Ρινγκίτ Μαλαισίας"
LVR,"Ρούβλι Λετονίας"
BYR,"Ρούβλι Λευκορωσίας"
RUB,"Ρούβλι Ρωσίας"
RUR,"Ρούβλι Ρωσίας (1991–1998)"
TJR,"Ρούβλι Τατζικιστάν"
INR,"Ρουπία Ινδίας"
IDR,"Ρουπία Ινδονησίας"
MUR,"Ρουπία Μαυρικίου"
NPR,"Ρουπία Νεπάλ"
PKR,"Ρουπία Πακιστάν"
SCR,"Ρουπία Σεϋχελλών"
LKR,"Ρουπία Σρι Λάνκα"
MVR,"Ρουφίγια Μαλδίβων"
ATS,"Σελίνι Αυστρίας"
KES,"Σελίνι Κένυας"
UGX,"Σελίνι Ουγκάντας"
UGS,"Σελίνι Ουγκάντας (1966–1987)"
SOS,"Σελίνι Σομαλίας"
TZS,"Σελίνι Τανζανίας"
GHS,"Σέντι Γκάνας"
GHC,"Σέντι Γκάνας (1979–2007)"
CSK,"Σκληρή Κορόνα Τσεχοσλοβακίας"
SUR,"Σοβιετικό Ρούβλι"
PES,"Σολ Περού"
KGS,"Σομ Κιργιζίας"
UZS,"Σομ Ουζμπεκιστάν"
TJS,"Σομόνι Τατζικιστάν"
ECS,"Σούκρε Εκουαδόρ"
GNS,"Συλί Γουινέας"
BDT,"Τάκα Μπαγκλαντές"
WST,"Τάλα Σαμόα"
LTT,"Ταλόνας Λιθουανίας"
KZT,"Τένγκε Καζακστάν"
SIT,"Τόλαρ Σλοβενίας"
MNT,"Τουγκρίκ Μογγολίας"
TRY,"Τουρκική Λίρα"
HUF,"Φιορίνι Ουγγαρίας"
AWG,"Φλορίνι Αρούμπα"
BEF,"Φράγκο Βελγίου"
BEC,"Φράγκο Βελγίου (μετατρέψιμο)"
BEL,"Φράγκο Βελγίου (οικονομικό)"
FRF,"Φράγκο Γαλλίας"
GNF,"Φράγκο Γουινέας"
CHF,"Φράγκο Ελβετίας"
KMF,"Φράγκο Κομορών"
CDF,"Φράγκο Κονγκό"
LUF,"Φράγκο Λουξεμβούργου"
MGF,"Φράγκο Μαδαγασκάρης"
MLF,"Φράγκο Μαλί"
MAF,"Φράγκο Μαρόκου"
BIF,"Φράγκο Μπουρούντι"
